song_name,max_noise,l2_norm,snr,epsilon
Al_James_Schoolboy_Facination.stem,0.003,0.0017325290411934556,32.60915789080572,0.003
AM Contra - Heart Peripheral.stem,0.003,0.0017308849011422231,34.321731999835876,0.003
Angels In Amplifiers - I'm Alright.stem,0.003,0.0017312806139272024,34.807880340064365,0.003
Arise - Run Run Run.stem,0.003,0.0017312170488571308,37.64880535235898,0.003
Ben Carrigan - We'll Talk About It All Tonight.stem,0.003,0.0017349465288976872,21.81716331063889,0.003
BKS - Bulldozer.stem,0.003,0.0017327128854851084,30.405354009432358,0.003
BKS - Too Much.stem,0.003,0.0017319307592889822,33.71292106092765,0.003
Bobby Nobody - Stitch Up.stem,0.003,0.0017325227587342777,32.80536587660399,0.003
Buitraker - Revo X.stem,0.003,0.001731003368498285,19.381743393097253,0.003
Carlos Gonzalez - A Place For Us.stem,0.003,0.0017304576535666187,25.02843243891128,0.003
