Song,Loss,drums_SDR,drums_SIR,drums_SAR,drums_Correlation,bass_SDR,bass_SIR,bass_SAR,bass_Correlation,vocals_SDR,vocals_SIR,vocals_SAR,vocals_Correlation,other_SDR,other_SIR,other_SAR,other_Correlation,average_SDR,average_SIR,average_SAR,average_Correlation
Al_James_Schoolboy_Facination.stem,,0.22630255214215314,inf,0.22630255214215314,0.3104743564527063,-7.399493455886841,20.0,-7.399493455886841,0.6189682387479234,4.749031213820857,inf,4.749031213820857,0.8577536078261692,-0.34798841923475266,20.0,-0.34798841923475266,0.19017596276881166,-0.693037027289646,20.0,-0.693037027289646,0.4943430414489026
AM Contra - Heart Peripheral.stem,,19.62124177863439,inf,19.62124177863439,0.9854266420574045,16.179718249904575,inf,16.179718249904575,0.9783582817518112,-15.909286737442017,20.0,-15.909286737442017,0.015179619422985327,-26.504545211791992,20.0,-26.504545211791992,0.17940902399283387,-1.6532179801737605,20.0,-1.6532179801737605,0.5395933918062588
Angels In Amplifiers - I'm Alright.stem,,14.44771568294053,inf,14.44771568294053,0.9132550913883584,15.313238521593274,inf,15.313238521593274,0.9842731383781583,-53.934264183044434,20.0,-53.934264183044434,0.05973728295350503,1.6940273745160255,inf,1.6940273745160255,0.6718806218075217,-5.619820650998651,20.0,-5.619820650998651,0.6572865336318858
BKS - Too Much.stem,,6.885714865939743,inf,6.885714865939743,0.9101540458914542,18.56740865026845,inf,18.56740865026845,0.9930126107059253,-60.53926944732666,20.0,-60.53926944732666,-0.0677687968456779,-9.060824513435364,20.0,-9.060824513435364,0.08522235964551851,-11.036742611138457,20.0,-11.036742611138457,0.48015505484930504
Arise - Run Run Run.stem,,-0.14164251275360584,20.0,-0.14164251275360584,-0.4202089157382009,12.577268222824893,inf,12.577268222824893,0.9702868399473816,-53.442134857177734,20.0,-53.442134857177734,0.23193545605480698,-10.417256355285645,20.0,-10.417256355285645,0.31908952750805236,-12.855941375598023,20.0,-12.855941375598023,0.27527572694301
Bobby Nobody - Stitch Up.stem,,0.9562442201073398,inf,0.9562442201073398,0.6163457730286352,-0.01439234591089189,20.0,-0.01439234591089189,-0.10800644836246748,-57.651681900024414,20.0,-57.651681900024414,0.14379883452735828,-0.801321491599083,20.0,-0.801321491599083,0.12336301990711715,-14.377787879356763,20.0,-14.377787879356763,0.19387529477516083
Buitraker - Revo X.stem,,-0.8859024196863174,20.0,-0.8859024196863174,0.013594144543942654,-39.824585914611816,20.0,-39.824585914611816,0.051564727194713805,-18.84917974472046,20.0,-18.84917974472046,0.11856689750979871,1.0517846792936325,20.0,1.0517846792936325,0.5669461476059979,-14.62697084993124,20.0,-14.62697084993124,0.18766797921361328
Ben Carrigan - We'll Talk About It All Tonight.stem,,0.35155371784623735,inf,0.35155371784623735,0.7210481315548096,-40.75465679168701,20.0,-40.75465679168701,0.002431288991116769,-60.47778129577637,20.0,-60.47778129577637,-0.11832538089036623,-0.8285659551620483,20.0,-0.8285659551620483,0.27668316006516286,-25.4273625811948,20.0,-25.4273625811948,0.22045929993018076
BKS - Bulldozer.stem,,7.606976889613999,inf,7.606976889613999,0.9179981020394867,-41.220808029174805,20.0,-41.220808029174805,0.0070148350577615495,-63.514742851257324,20.0,-63.514742851257324,0.004954106698344684,-10.508936643600464,20.0,-10.508936643600464,0.2559883862829897,-26.909377658604647,20.0,-26.909377658604647,0.2964888575196457
Carlos Gonzalez - A Place For Us.stem,,-57.13417053222656,20.0,-57.13417053222656,-4.935908330841107e-05,-52.416367530822754,20.0,-52.416367530822754,0.001970338798847796,-7.623614072799683,20.0,-7.623614072799683,0.34126560801159694,-16.710643768310547,20.0,-16.710643768310547,0.12728897300186176,-33.47119897603989,20.0,-33.47119897603989,0.11761889018224952
